,_id,school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
5e403b81614e4b05a0c01b74,5e403b81614e4b05a0c01b74,"""GP"";""F"";18;""U"";""GT3"";""A"";4;4;""at_home"";""teacher"";""course"";""mother"";2;2;0;""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;4;1;1;3;6;""5"";""6"";6"
5e403b81614e4b05a0c01b75,5e403b81614e4b05a0c01b75,"""GP"";""F"";17;""U"";""GT3"";""T"";1;1;""at_home"";""other"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";5;3;3;1;1;3;4;""5"";""5"";6"
5e403b81614e4b05a0c01b76,5e403b81614e4b05a0c01b76,"""GP"";""F"";15;""U"";""LE3"";""T"";1;1;""at_home"";""other"";""other"";""mother"";1;2;3;""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;2;2;3;3;10;""7"";""8"";10"
5e403b81614e4b05a0c01b77,5e403b81614e4b05a0c01b77,"""GP"";""F"";15;""U"";""GT3"";""T"";4;2;""health"";""services"";""home"";""mother"";1;3;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";3;2;2;1;1;5;2;""15"";""14"";15"
5e403b81614e4b05a0c01b78,5e403b81614e4b05a0c01b78,"""GP"";""F"";16;""U"";""GT3"";""T"";3;3;""other"";""other"";""home"";""father"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""no"";""no"";4;3;2;1;2;5;4;""6"";""10"";10"
5e403b81614e4b05a0c01b79,5e403b81614e4b05a0c01b79,"""GP"";""M"";16;""U"";""LE3"";""T"";4;3;""services"";""other"";""reputation"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;2;1;2;5;10;""15"";""15"";15"
5e403b81614e4b05a0c01b7a,5e403b81614e4b05a0c01b7a,"""GP"";""M"";16;""U"";""LE3"";""T"";2;2;""other"";""other"";""home"";""mother"";1;2;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;4;4;1;1;3;0;""12"";""12"";11"
5e403b81614e4b05a0c01b7b,5e403b81614e4b05a0c01b7b,"""GP"";""F"";17;""U"";""GT3"";""A"";4;4;""other"";""teacher"";""home"";""mother"";2;2;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;1;4;1;1;1;6;""6"";""5"";6"
5e403b81614e4b05a0c01b7c,5e403b81614e4b05a0c01b7c,"""GP"";""M"";15;""U"";""LE3"";""A"";3;2;""services"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;2;2;1;1;1;0;""16"";""18"";19"
5e403b81614e4b05a0c01b7d,5e403b81614e4b05a0c01b7d,"""GP"";""M"";15;""U"";""GT3"";""T"";3;4;""other"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;5;1;1;1;5;0;""14"";""15"";15"
5e403b81614e4b05a0c01b7e,5e403b81614e4b05a0c01b7e,"""GP"";""F"";15;""U"";""GT3"";""T"";4;4;""teacher"";""health"";""reputation"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";3;3;3;1;2;2;0;""10"";""8"";9"
